 < 15:34:51 >  30,8738422393799 40 
 < 15:34:52 >  30,9027767181396 40 
 < 15:34:53 >  30,931713104248 40 
 < 15:34:54 >  30,9895820617676 40 
 < 15:34:55 >  31,018518447876 40 
 < 15:34:56 >  31,0474529266357 40 
 < 15:34:57 >  31,0763893127441 40 
 < 15:34:58 >  31,1342582702637 40 
 < 15:34:59 >  31,1631946563721 40 
 < 15:35:00 >  31,1921291351318 40 
 < 15:35:01 >  31,2210636138916 40 
 < 15:35:02 >  31,25 40 
 < 15:35:03 >  31,2789344787598 40 
 < 15:35:04 >  31,3368053436279 40 
 < 15:35:05 >  31,3657398223877 40 
 < 15:35:06 >  31,3946762084961 40 
 < 15:35:07 >  31,4236106872559 40 
 < 15:35:08 >  31,4525451660156 40 
 < 15:35:09 >  31,5104160308838 40 
 < 15:35:10 >  31,5393505096436 40 
 < 15:35:11 >  31,568286895752 40 
 < 15:35:12 >  31,5972213745117 40 
 < 15:35:13 >  31,6261577606201 40 
 < 15:35:14 >  31,6550922393799 40 
 < 15:35:15 >  31,712963104248 40 
 < 15:35:16 >  31,7418975830078 40 
 < 15:35:17 >  31,7708320617676 40 
 < 15:35:18 >  31,799768447876 40 
 < 15:35:19 >  31,8287029266357 40 
 < 15:35:20 >  31,8576374053955 40 
 < 15:35:21 >  31,8865737915039 40 
 < 15:35:22 >  31,9444446563721 40 
 < 15:35:23 >  31,9444446563721 40 
 < 15:35:24 >  32,0023155212402 40 
 < 15:35:25 >  32,03125 40 
 < 15:35:26 >  32,0601844787598 40 
 < 15:35:27 >  32,0891189575195 40 
 < 15:35:28 >  32,1180534362793 40 
 < 15:35:29 >  32,1469917297363 40 
 < 15:35:30 >  32,1759262084961 40 
 < 15:35:31 >  32,2048606872559 40 
 < 15:35:32 >  32,2337951660156 40 
 < 15:35:33 >  32,2916679382324 40 
 < 15:35:34 >  32,3206024169922 40 
 < 15:35:35 >  32,349536895752 40 
 < 15:35:36 >  32,3784713745117 40 
 < 15:35:37 >  32,4074058532715 40 
 < 15:35:38 >  32,4363403320313 40 
 < 15:35:39 >  32,4652786254883 40 
 < 15:35:40 >  32,494213104248 40 
 < 15:35:41 >  32,5231475830078 40 
 < 15:35:42 >  32,5520820617676 40 
 < 15:35:43 >  32,5810165405273 40 
 < 15:35:44 >  32,6099548339844 40 
 < 15:35:45 >  32,6678237915039 40 
 < 15:35:46 >  32,6678237915039 40 
 < 15:35:47 >  32,7256927490234 40 
 < 15:35:48 >  32,7256927490234 40 
 < 15:35:49 >  32,7835655212402 40 
 < 15:35:50 >  32,7835655212402 40 
 < 15:35:51 >  32,8414344787598 40 
 < 15:35:52 >  32,8703689575195 40 
 < 15:35:53 >  32,8993034362793 40 
 < 15:35:54 >  32,8703689575195 40 
 < 15:35:55 >  32,9282417297363 40 
 < 15:35:56 >  32,9282417297363 40 
 < 15:35:57 >  32,9571762084961 40 
 < 15:35:58 >  33,0150451660156 40 
 < 15:35:59 >  33,0729179382324 40 
 < 15:36:00 >  33,0729179382324 40 
 < 15:36:01 >  33,1018524169922 40 
 < 15:36:02 >  33,130786895752 40 
 < 15:36:03 >  33,1597213745117 40 
 < 15:36:04 >  33,1886558532715 40 
 < 15:36:05 >  33,2175903320313 40 
 < 15:36:06 >  33,2465286254883 40 
 < 15:36:07 >  33,275463104248 40 
 < 15:36:08 >  33,3043975830078 40 
 < 15:36:09 >  33,3333320617676 40 
 < 15:36:10 >  33,3622665405273 40 
 < 15:36:11 >  33,3622665405273 40 
 < 15:36:12 >  33,4201393127441 40 
 < 15:36:13 >  33,4490737915039 40 
 < 15:36:14 >  33,4780082702637 40 
 < 15:36:15 >  33,5069427490234 40 
 < 15:36:16 >  33,5358772277832 40 
 < 15:36:17 >  33,5648155212402 40 
 < 15:36:18 >  33,59375 40 
 < 15:36:19 >  33,6226844787598 40 
 < 15:36:20 >  33,6516189575195 40 
 < 15:36:21 >  33,6805534362793 40 
 < 15:36:22 >  33,7094917297363 40 
 < 15:36:23 >  33,7094917297363 40 
 < 15:36:24 >  33,7673606872559 40 
 < 15:36:25 >  33,7962951660156 40 
 < 15:36:26 >  33,8252296447754 40 
 < 15:36:27 >  33,8252296447754 40 
 < 15:36:28 >  33,8541679382324 40 
 < 15:36:29 >  33,8831024169922 40 
 < 15:36:30 >  33,912036895752 40 
 < 15:36:31 >  33,9409713745117 40 
 < 15:36:32 >  33,9699058532715 40 
 < 15:36:33 >  33,9988403320313 40 
 < 15:36:34 >  34,0277786254883 40 
 < 15:36:35 >  34,0277786254883 40 
 < 15:36:36 >  34,056713104248 40 
 < 15:36:37 >  34,0856475830078 40 
 < 15:36:38 >  34,1145820617676 40 
 < 15:36:39 >  34,1435165405273 40 
 < 15:36:40 >  34,1724548339844 40 
 < 15:36:41 >  34,2013893127441 40 
 < 15:36:42 >  34,2303237915039 40 
 < 15:36:43 >  34,2303237915039 40 
 < 15:36:44 >  34,2592582702637 40 
 < 15:36:45 >  34,2881927490234 40 
 < 15:36:46 >  34,3171272277832 40 
 < 15:36:47 >  34,3460655212402 40 
 < 15:36:48 >  34,375 40 
 < 15:36:49 >  34,375 40 
 < 15:36:50 >  34,4039344787598 40 
 < 15:36:51 >  34,4328689575195 40 
 < 15:36:52 >  34,4618034362793 40 
 < 15:36:53 >  34,4907417297363 40 
 < 15:36:54 >  34,5196762084961 40 
 < 15:36:55 >  34,5486106872559 40 
 < 15:36:56 >  34,5486106872559 40 
 < 15:36:57 >  34,5775451660156 40 
 < 15:36:58 >  34,6064796447754 40 
 < 15:36:59 >  34,6354179382324 40 
 < 15:37:00 >  34,6643524169922 40 
 < 15:37:01 >  34,6643524169922 40 
 < 15:37:02 >  34,7222213745117 40 
 < 15:37:03 >  34,7222213745117 40 
 < 15:37:04 >  34,7511558532715 40 
 < 15:37:05 >  34,7800903320313 40 
 < 15:37:06 >  34,8090286254883 40 
 < 15:37:07 >  34,837963104248 40 
 < 15:37:08 >  34,837963104248 40 
 < 15:37:09 >  34,8668975830078 40 
 < 15:37:10 >  34,8958320617676 40 
 < 15:37:11 >  34,9247665405273 40 
 < 15:37:12 >  34,9537048339844 40 
 < 15:37:13 >  34,9537048339844 40 
 < 15:37:14 >  34,9826393127441 40 
 < 15:37:15 >  35,0115737915039 40 
 < 15:37:16 >  35,0405082702637 40 
 < 15:37:17 >  35,0694427490234 40 
 < 15:37:18 >  35,0983772277832 40 
 < 15:37:19 >  35,0983772277832 40 
 < 15:37:20 >  35,1273155212402 40 
 < 15:37:21 >  35,15625 40 
 < 15:37:22 >  35,1851844787598 40 
 < 15:37:23 >  35,2141189575195 40 
 < 15:37:24 >  35,2430534362793 40 
 < 15:37:25 >  35,2430534362793 40 
 < 15:37:26 >  35,2719917297363 40 
 < 15:37:27 >  35,3009262084961 40 
 < 15:37:28 >  35,3009262084961 40 
 < 15:37:29 >  35,3298606872559 40 
 < 15:37:30 >  35,3587951660156 40 
 < 15:37:31 >  35,3877296447754 40 
 < 15:37:32 >  35,4166679382324 40 
 < 15:37:33 >  35,4456024169922 40 
 < 15:37:34 >  35,4456024169922 40 
 < 15:37:35 >  35,474536895752 40 
 < 15:37:36 >  35,5034713745117 40 
 < 15:37:37 >  35,5034713745117 40 
 < 15:37:38 >  35,5324058532715 40 
 < 15:37:39 >  35,5613403320313 40 
 < 15:37:40 >  35,5902786254883 40 
 < 15:37:41 >  35,619213104248 40 
 < 15:37:42 >  35,619213104248 40 
 < 15:37:43 >  35,6481475830078 40 
 < 15:37:44 >  35,6770820617676 40 
 < 15:37:45 >  35,7060165405273 40 
 < 15:37:46 >  35,7060165405273 40 
 < 15:37:47 >  35,7349548339844 40 
 < 15:37:48 >  35,7638893127441 40 
 < 15:37:49 >  35,7928237915039 40 
 < 15:37:50 >  35,8217582702637 40 
 < 15:37:51 >  35,8217582702637 40 
 < 15:37:52 >  35,8506927490234 40 
 < 15:37:53 >  35,8796272277832 40 
 < 15:37:54 >  35,9085655212402 40 
 < 15:37:55 >  35,9085655212402 40 
 < 15:37:56 >  35,9375 40 
 < 15:37:57 >  35,9664344787598 40 
 < 15:37:58 >  35,9953689575195 40 
 < 15:37:59 >  36,0243034362793 40 
 < 15:38:00 >  36,0243034362793 40 
 < 15:38:01 >  36,0532417297363 40 
 < 15:38:02 >  36,0821762084961 40 
 < 15:38:03 >  36,1111106872559 40 
 < 15:38:04 >  36,1400451660156 40 
 < 15:38:05 >  36,1400451660156 40 
 < 15:38:06 >  36,1689796447754 40 
 < 15:38:07 >  36,1979179382324 40 
 < 15:38:08 >  36,2268524169922 40 
 < 15:38:09 >  36,2268524169922 40 
 < 15:38:10 >  36,255786895752 40 
 < 15:38:11 >  36,2847213745117 40 
 < 15:38:12 >  36,3136558532715 40 
 < 15:38:13 >  36,3136558532715 40 
 < 15:38:14 >  36,3425903320313 40 
 < 15:38:15 >  36,3715286254883 40 
 < 15:38:16 >  36,3715286254883 40 
 < 15:38:17 >  36,400463104248 40 
 < 15:38:18 >  36,4293975830078 40 
 < 15:38:19 >  36,4583320617676 40 
 < 15:38:20 >  36,4583320617676 40 
 < 15:38:21 >  36,4872665405273 40 
 < 15:38:22 >  36,5162048339844 40 
 < 15:38:23 >  36,5451393127441 40 
 < 15:38:24 >  36,5740737915039 40 
 < 15:38:25 >  36,5740737915039 40 
 < 15:38:26 >  36,6030082702637 40 
 < 15:38:27 >  36,6319427490234 40 
 < 15:38:28 >  36,6608772277832 40 
 < 15:38:29 >  36,6608772277832 40 
 < 15:38:30 >  36,6898155212402 40 
 < 15:38:31 >  36,71875 40 
 < 15:38:32 >  36,71875 40 
 < 15:38:33 >  36,7476844787598 40 
 < 15:38:34 >  36,7766189575195 40 
 < 15:38:35 >  36,7766189575195 40 
 < 15:38:36 >  36,8055534362793 40 
 < 15:38:37 >  36,8344917297363 40 
 < 15:38:38 >  36,8344917297363 40 
 < 15:38:39 >  36,8634262084961 40 
 < 15:38:40 >  36,8923606872559 40 
 < 15:38:41 >  36,8923606872559 40 
 < 15:38:42 >  36,9212951660156 40 
 < 15:38:43 >  36,9502296447754 40 
 < 15:38:44 >  36,9502296447754 40 
 < 15:38:45 >  36,9791679382324 40 
 < 15:38:46 >  37,0081024169922 40 
 < 15:38:47 >  37,0081024169922 40 
 < 15:38:48 >  37,037036895752 40 
 < 15:38:49 >  37,0659713745117 40 
 < 15:38:50 >  37,0659713745117 40 
 < 15:38:51 >  37,0949058532715 40 
 < 15:38:52 >  37,0949058532715 40 
 < 15:38:53 >  37,1238403320313 40 
 < 15:38:54 >  37,1527786254883 40 
 < 15:38:55 >  37,1527786254883 40 
 < 15:38:56 >  37,181713104248 40 
 < 15:38:57 >  37,2106475830078 40 
 < 15:38:58 >  37,2106475830078 40 
 < 15:38:59 >  37,2395820617676 40 
 < 15:39:00 >  37,2395820617676 40 
 < 15:39:01 >  37,2685165405273 40 
 < 15:39:02 >  37,2685165405273 40 
 < 15:39:03 >  37,2974548339844 40 
 < 15:39:04 >  37,2974548339844 40 
 < 15:39:05 >  37,3263893127441 40 
 < 15:39:06 >  37,3553237915039 40 
 < 15:39:07 >  37,3553237915039 40 
 < 15:39:08 >  37,3553237915039 40 
 < 15:39:09 >  37,4131927490234 40 
 < 15:39:10 >  37,4131927490234 40 
 < 15:39:11 >  37,4131927490234 40 
 < 15:39:12 >  37,4421272277832 40 
 < 15:39:13 >  37,4710655212402 40 
 < 15:39:14 >  37,5 40 
 < 15:39:15 >  37,5 40 
 < 15:39:16 >  37,5289344787598 40 
 < 15:39:17 >  37,5289344787598 40 
