PV dadobruto dadofapk Escrita ModoOperacao ValorDesejado CicloInicio CicloFim
41812 41783 41783 33000 1 33000 5440533229829 5440533314949
41816 41870 41870 33000 1 33000 5441033232749 5441033316349
41820 41802 41802 33000 1 33000 5441533232629 5441533319269
41824 41821 41821 33000 1 33000 5442033226429 5442033311549
41827 41816 41816 33000 1 33000 5442533232389 5442533317509
41831 41765 41765 33000 1 33000 5443033220109 5443033302189
41834 41942 41942 33000 1 33000 5443533230629 5443533315749
41837 41855 41855 33000 1 33000 5444033232029 5444033323229
41839 41824 41824 33000 1 33000 5444533228869 5444533317029
41841 41863 41863 33000 1 33000 5445033231789 5445033316909
41842 41825 41825 33000 1 33000 5445533230149 5445533318309
41843 41771 41771 33000 1 33000 5446033230029 5446033315149
41844 41831 41831 33000 1 33000 5446533232949 5446533322629
41845 41859 41859 33000 1 33000 5447033226749 5447033304269
41845 41841 41841 33000 1 33000 5447533229669 5447533310229
41845 41914 41914 33000 1 33000 5448033220429 5448033293389
41844 41809 41809 33000 1 33000 5448533227909 5448533313029
41844 41887 41887 33000 1 33000 5449033232349 5449033318989
41843 41891 41891 33000 1 33000 5449533232229 5449533321909
41843 41851 41851 33000 1 33000 5450033232109 5450033317229
41843 41815 41815 33000 1 33000 5450533228949 5450533315589
41842 41824 41824 33000 1 33000 5451033228829 5451033315469
41842 41876 41876 33000 1 33000 5451533230229 5451533318389
41843 41848 41848 33000 1 33000 5452033227069 5452033304589
41843 42020 42020 33000 1 33000 5452533229989 5452533313589
41844 41837 41837 33000 1 33000 5453033219229 5453033293709
41844 41885 41885 33000 1 33000 5453533226709 5453533307269
41846 41925 41925 33000 1 33000 5454033231149 5454033316269
41847 41879 41879 33000 1 33000 5454533234069 5454533329829
41849 41824 41824 33000 1 33000 5455033233949 5455033323629
41852 41956 41956 33000 1 33000 5455533229269 5455533317429
41855 41893 41893 33000 1 33000 5456033226109 5456033312749
41858 41800 41800 33000 1 33000 5456533232069 5456533320229
41861 41825 41825 33000 1 33000 5457033230429 5457033315549
41864 41915 41915 33000 1 33000 5457533227269 5457533309349
41868 42035 42035 33000 1 33000 5458033218029 5458033290989
41871 41972 41972 33000 1 33000 5458533228549 5458533309109
41874 41988 41988 33000 1 33000 5459033228429 5459033315069
41877 41966 41966 33000 1 33000 5459533231349 5459533321029
41881 41851 41851 33000 1 33000 5460033228189 5460033311789
41884 41927 41927 33000 1 33000 5460533229589 5460533314709
41888 41835 41835 33000 1 33000 5461033229469 5461033317629
41892 41813 41813 33000 1 33000 5461533230869 5461533320549
41896 41952 41952 33000 1 33000 5462033227709 5462033308269
41900 41995 41995 33000 1 33000 5462533226069 5462533309669
41903 41920 41920 33000 1 33000 5463033224429 5463033303469
41907 41879 41879 33000 1 33000 5463533231909 5463533317029
41910 41959 41959 33000 1 33000 5464033230269 5464033318429
41912 41859 41859 33000 1 33000 5464533248389 5464533354789
41915 41923 41923 33000 1 33000 5465033228509 5465033318189
41917 41982 41982 33000 1 33000 5465533232949 5465533322629
41918 41824 41824 33000 1 33000 5466033222189 5466033302749
41919 41876 41876 33000 1 33000 5466533228149 5466533313269
41920 41908 41908 33000 1 33000 5467033214349 5467033290349
41921 41925 41925 33000 1 33000 5467533220309 5467533303909
41921 41853 41853 33000 1 33000 5468033208029 5468033277949
41921 41882 41882 33000 1 33000 5468533217029 5468533294549
41920 41877 41877 33000 1 33000 5469033229069 5469033318749
41919 41915 41915 33000 1 33000 5469533222869 5469533306469
41917 41920 41920 33000 1 33000 5470033218189 5470033292669
41916 41939 41939 33000 1 33000 5470533230229 5470533316869
41914 41988 41988 33000 1 33000 5471033233149 5471033322829
41912 41942 41942 33000 1 33000 5471533226949 5471533313589
41910 41974 41974 33000 1 33000 5472033226829 5472033313469
41908 41959 41959 33000 1 33000 5472533226709 5472533313349
41907 42021 42021 33000 1 33000 5473033220509 5473033301069
41906 41915 41915 33000 1 33000 5473533227989 5473533314629
41907 41886 41886 33000 1 33000 5474033232429 5474033322109
41907 41870 41870 33000 1 33000 5474533227749 5474533314389
41909 41981 41981 33000 1 33000 5475033226109 5475033314269
41911 41918 41918 33000 1 33000 5475533229029 5475533317189
41913 41983 41983 33000 1 33000 5476033227389 5476033310989
41916 41939 41939 33000 1 33000 5476533230309 5476533318469
41919 41868 41868 33000 1 33000 5477033225629 5477033309229
41923 41808 41808 33000 1 33000 5477533227029 5477533313669
41926 41948 41948 33000 1 33000 5478033217789 5478033298349
41929 41944 41944 33000 1 33000 5478533228309 5478533314949
41931 41866 41866 33000 1 33000 5479033228189 5479033313309
41933 41894 41894 33000 1 33000 5479533225029 5479533313189
41935 41925 41925 33000 1 33000 5480033224909 5480033310029
41935 41881 41881 33000 1 33000 5480533224789 5480533312949
41936 41951 41951 33000 1 33000 5481033229229 5481033315869
41935 41954 41954 33000 1 33000 5481533229109 5481533318789
41934 41944 41944 33000 1 33000 5482033225949 5482033312589
41933 41901 41901 33000 1 33000 5482533228869 5482533312469
41931 41945 41945 33000 1 33000 5483033219629 5483033298669
41929 41849 41849 33000 1 33000 5483533228629 5483533313749
41927 41989 41989 33000 1 33000 5484033226989 5484033313629
41925 42011 42011 33000 1 33000 5484533225349 5484533311989
41923 41879 41879 33000 1 33000 5485033225229 5485033310349
41922 41856 41856 33000 1 33000 5485533225109 5485533314789
41920 41847 41847 33000 1 33000 5486033223469 5486033310109
41919 42089 42089 33000 1 33000 5486533226389 5486533313029
41919 41987 41987 33000 1 33000 5487033226269 5487033308349
41918 41967 41967 33000 1 33000 5487533224629 5487533311269
41918 41931 41931 33000 1 33000 5488033221469 5488033303549
41918 42017 42017 33000 1 33000 5488533225909 5488533312549
41919 42043 42043 33000 1 33000 5489033227309 5489033313949
41921 41944 41944 33000 1 33000 5489533225669 5489533315349
41923 41963 41963 33000 1 33000 5490033222509 5490033301549
41925 42063 42063 33000 1 33000 5490533223909 5490533307509
41929 41961 41961 33000 1 33000 5491033225309 5491033307389
41932 42017 42017 33000 1 33000 5491533225189 5491533313349
41937 41931 41931 33000 1 33000 5492033225069 5492033310189
41941 41949 41949 33000 1 33000 5492533226469 5492533316149
41946 41994 41994 33000 1 33000 5493033218749 5493033299309
41952 42002 42002 33000 1 33000 5493533244469 5493533359989
41957 42053 42053 33000 1 33000 5494033227629 5494033314269
41962 42006 42006 33000 1 33000 5494533227509 5494533312629
41967 41986 41986 33000 1 33000 5495033215229 5495033294269
41972 42008 42008 33000 1 33000 5495533224229 5495533307829
41977 41981 41981 33000 1 33000 5496033225629 5496033304669
41981 41925 41925 33000 1 33000 5496533228549 5496533313669
41985 41935 41935 33000 1 33000 5497033225389 5497033305949
41989 41937 41937 33000 1 33000 5497533222229 5497533304309
41992 41767 41767 33000 1 33000 5498033217549 5498033296589
41994 42030 42030 33000 1 33000 5498533226549 5498533310149
41996 41961 41961 33000 1 33000 5499033223389 5499033306989
41996 42036 42036 33000 1 33000 5499533226309 5499533312949
41996 42003 42003 33000 1 33000 5500033223149 5500033312829
41994 42000 42000 65000 1 65000 5500533224549 5500533308149
41992 41969 41969 65000 1 65000 5501033221389 5501033298909
41990 42032 42032 65000 1 65000 5501533227349 5501533317029
41987 41901 41901 65000 1 65000 5502033218109 5502033297149
41984 41909 41909 65000 1 65000 5502533219509 5502533306149
41981 42029 42029 65000 1 65000 5503033207229 5503033277149
41979 41884 41884 65000 1 65000 5503533223829 5503533307429
41976 41913 41913 65000 1 65000 5504033223709 5504033308829
41974 41820 41820 65000 1 65000 5504533225109 5504533311749
41971 41735 41735 65000 1 65000 5505033228029 5505033313149
41969 41734 41734 65000 1 65000 5505533224869 5505533303909
41966 41665 41665 65000 1 65000 5506033226269 5506033312909
41962 41643 41643 65000 1 65000 5506533229189 5506533320389
41958 41584 41584 65000 1 65000 5507033218429 5507033302029
41952 41501 41501 65000 1 65000 5507533221349 5507533306469
41944 41404 41404 65000 1 65000 5508033212109 5508033289629
41933 41394 41394 65000 1 65000 5508533228709 5508533313829
41920 41184 41184 65000 1 65000 5509033255949 5509033365389
41904 41262 41262 65000 1 65000 5509533228469 5509533319669
41884 41224 41224 65000 1 65000 5510033216189 5510033292189
41861 41278 41278 65000 1 65000 5510533225189 5510533313349
41833 41132 41132 65000 1 65000 5511033226589 5511033310189
41801 41074 41074 65000 1 65000 5511533224949 5511533316149
41766 41038 41038 65000 1 65000 5512033238509 5512033341869
41726 40952 40952 65000 1 65000 5512533226229 5512533314389
41684 40983 40983 65000 1 65000 5513033226109 5513033312749
41638 40945 40945 65000 1 65000 5513533222949 5513533309589
41589 40956 40956 65000 1 65000 5514033230429 5514033318589
41538 40786 40786 65000 1 65000 5514533228789 5514533313909
41485 40947 40947 65000 1 65000 5515033216509 5515033295549
41431 40767 40767 65000 1 65000 5515533227029 5515533313669
41377 40789 40789 65000 1 65000 5516033222349 5516033305949
41322 40718 40718 65000 1 65000 5516533223749 5516533310389
41268 40650 40650 65000 1 65000 5517033226669 5517033317869
41214 40733 40733 65000 1 65000 5517533226549 5517533310149
41162 40764 40764 65000 1 65000 5518033212749 5518033296349
41111 40747 40747 65000 1 65000 5518533224789 5518533308389
41062 40535 40535 65000 1 65000 5519033224669 5519033309789
41015 40559 40559 65000 1 65000 5519533227589 5519533314229
40970 40523 40523 65000 1 65000 5520033228989 5520033323229
40928 40621 40621 65000 1 65000 5520533225829 5520533310949
40888 40430 40430 65000 1 65000 5521033222669 5521033306269
40851 40580 40580 65000 1 65000 5521533225589 5521533313749
40816 40495 40495 65000 1 65000 5522033225469 5522033307549
40783 40476 40476 65000 1 65000 5522533223829 5522533310469
40752 40514 40514 65000 1 65000 5523033211549 5523033289069
40723 40400 40400 65000 1 65000 5523533225109 5523533305669
40696 40435 40435 65000 1 65000 5524033223469 5524033311629
40671 40304 40304 65000 1 65000 5524533221829 5524533309989
40647 40345 40345 65000 1 65000 5525033220189 5525033300749
40624 40346 40346 65000 1 65000 5525533224629 5525533314309
40602 40211 40211 65000 1 65000 5526033229069 5526033320269
40582 40348 40348 65000 1 65000 5526533225909 5526533311029
40561 40186 40186 65000 1 65000 5527033221229 5527033304829
40541 40328 40328 65000 1 65000 5527533224149 5527533309269
40521 40345 40345 65000 1 65000 5528033211869 5528033292429
40501 40286 40286 65000 1 65000 5528533219349 5528533305989
40481 40231 40231 65000 1 65000 5529033229869 5529033316509
40461 40266 40266 65000 1 65000 5529533238869 5529533334629
40441 40239 40239 65000 1 65000 5530033226589 5530033316269
40422 40325 40325 65000 1 65000 5530533224949 5530533311589
40403 40109 40109 65000 1 65000 5531033221789 5531033306909
40384 40089 40089 65000 1 65000 5531533224709 5531533311349
40366 40248 40248 65000 1 65000 5532033226109 5532033312749
40349 40166 40166 65000 1 65000 5532533222949 5532533312629
40332 40176 40176 65000 1 65000 5533033222829 5533033310989
40316 40183 40183 65000 1 65000 5533533221189 5533533309349
40300 40136 40136 65000 1 65000 5534033224109 5534033310749
40286 40113 40113 65000 1 65000 5534533225509 5534533312149
40271 40227 40227 65000 1 65000 5535033225389 5535033315069
40258 40056 40056 65000 1 65000 5535533223749 5535533307349
40245 40157 40157 65000 1 65000 5536033225149 5536033310269
40233 40054 40054 65000 1 65000 5536533223509 5536533310149
40221 40167 40167 65000 1 65000 5537033214269 5537033291789
40210 40092 40092 65000 1 65000 5537533214149 5537533296229
40200 40033 40033 65000 1 65000 5538033214029 5538033290029
40190 39954 39954 65000 1 65000 5538533221509 5538533300549
40181 40069 40069 65000 1 65000 5539033227469 5539033317149
40172 40032 40032 65000 1 65000 5539533222789 5539533310949
40163 40006 40006 65000 1 65000 5540033219629 5540033301709
40154 40026 40026 65000 1 65000 5540533222549 5540533307669
40145 40032 40032 65000 1 65000 5541033210269 5541033286269
40136 39936 39936 65000 1 65000 5541533225349 5541533311989
40127 40016 40016 65000 1 65000 5542033216109 5542033296669
40117 39886 39886 65000 1 65000 5542533223589 5542533308709
40108 39963 39963 65000 1 65000 5543033221949 5543033305549
40098 39871 39871 65000 1 65000 5543533220309 5543533306949
40087 39946 39946 65000 1 65000 5544033224749 5544033311389
40077 39961 39961 65000 1 65000 5544533223109 5544533308229
40066 39898 39898 65000 1 65000 5545033221469 5545033300509
40055 39896 39896 65000 1 65000 5545533218309 5545533306469
40043 39893 39893 65000 1 65000 5546033219709 5546033300269
40031 39947 39947 65000 1 65000 5546533222629 5546533312309
40020 39923 39923 65000 1 65000 5547033214909 5547033293949
40008 39758 39758 65000 1 65000 5547533219349 5547533302949
39996 39840 39840 65000 1 65000 5548033219229 5548033304349
39985 39838 39838 65000 1 65000 5548533225189 5548533311829
39973 39937 39937 65000 1 65000 5549033226589 5549033314749
39962 39755 39755 65000 1 65000 5549533220389 5549533307029
39951 39817 39817 65000 1 65000 5550033217229 5550033297789
39940 39833 39833 65000 1 65000 5550533223189 5550533303749
39930 39788 39788 65000 1 65000 5551033221549 5551033303629
39919 39786 39786 65000 1 65000 5551533224469 5551533311109
39909 39813 39813 65000 1 65000 5552033215229 5552033295789
39900 39819 39819 65000 1 65000 5552533221189 5552533306309
39890 39689 39689 65000 1 65000 5553033221069 5553033304669
39881 39739 39739 65000 1 65000 5553533220949 5553533306069
39871 39680 39680 65000 1 65000 5554033222349 5554033310509
39862 39734 39734 65000 1 65000 5554533220709 5554533308869
39853 39690 39690 65000 1 65000 5555033212989 5555033293549
39844 39745 39745 65000 1 65000 5555533208309 5555533291909
39835 39713 39713 65000 1 65000 5556033218829 5556033302429
39826 39726 39726 65000 1 65000 5556533221749 5556533309909
39816 39713 39713 65000 1 65000 5557033215549 5557033294589
39807 39879 39879 65000 1 65000 5557533218469 5557533302069
39797 39608 39608 65000 1 65000 5558033219869 5558033306509
39788 39629 39629 65000 1 65000 5558533222789 5558533307909
39779 39586 39586 65000 1 65000 5559033224189 5559033310829
39770 39684 39684 65000 1 65000 5559533219509 5559533309189
39762 39707 39707 65000 1 65000 5560033213309 5560033290829
39753 39615 39615 65000 1 65000 5560533217749 5560533299829
39745 39613 39613 65000 1 65000 5561033216109 5561033298189
39737 39598 39598 65000 1 65000 5561533220549 5561533308709
39729 39648 39648 65000 1 65000 5562033217389 5562033297949
39721 39598 39598 65000 1 65000 5562533217269 5562533302389
